Wed Apr  2 18:40:35 2025: Model for Machine Learning in Healthcare - R²=0.97, Slope=0.81
Wed Apr  2 18:41:36 2025: Model for Machine Learning in Healthcare - R²=0.97, Slope=0.81
Wed Apr  2 18:42:37 2025: Model for Machine Learning in Healthcare - R²=0.97, Slope=0.81
Wed Apr  2 19:04:33 2025: Model for Machine Learning in Healthcare - R²=0.97, Slope=0.81
Wed Apr  2 21:24:22 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 21:25:54 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 21:26:56 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 21:28:59 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 21:34:41 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 21:55:30 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 22:02:42 2025: Efficiency Model - R²=0.97, Outcome Model - R²=0.98
Wed Apr  2 22:20:16 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
Wed Apr  2 22:22:14 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
Wed Apr  2 22:23:36 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
Thu Apr  3 20:19:39 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
Thu Apr  3 20:30:20 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
Thu Apr  3 20:39:10 2025: Efficiency DT - R²=1.00, Outcome DT - R²=1.00
